snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1589253490,800,266,50.87416,1.32690,3852,63,1177
1589253496,800,274,50.87421,1.32459,3852,62,1177
1589253504,800,292,50.87485,1.32066,3852,57,1177
1589253536,800,340,50.88007,1.31279,3852,44,1177
1589253542,800,348,50.88126,1.31220,3852,44,1177
1589253548,825,354,50.88244,1.31195,3852,45,1177
1589253554,800,1,50.88369,1.31187,3852,43,1177
1589253560,775,10,50.88496,1.31212,3852,43,1177
1589253568,775,22,50.88681,1.31302,3852,44,1177
1589253574,800,30,50.88783,1.31386,3852,41,1177
1589253580,800,38,50.88886,1.31500,3852,42,1177
1589253588,800,46,50.88974,1.31630,3852,40,1177
1589253594,800,53,50.89044,1.31767,3852,40,1177
1589253600,800,60,50.89104,1.31912,3852,42,1177
1589253608,800,69,50.89170,1.32141,3852,42,1177
1589253614,775,82,50.89211,1.32378,3852,45,1177
1589253620,775,88,50.89220,1.32571,3852,46,1177
1589253626,800,95,50.89215,1.32786,3852,48,1177
1589253632,800,105,50.89188,1.33001,3852,48,1177
1589253638,800,113,50.89142,1.33186,3852,50,1177
1589253644,800,123,50.89068,1.33400,3852,54,1177
1589253650,800,133,50.88959,1.33617,3852,58,1177
1589253656,800,143,50.88831,1.33788,3852,60,1177
1589253662,800,152,50.88728,1.33888,3852,63,1177
1589253668,800,165,50.88547,1.33989,3852,62,1177
1589253692,800,213,50.87810,1.33781,3852,69,1177
1589253698,800,227,50.87654,1.33566,3852,69,1177
1589253704,800,237,50.87540,1.33321,3852,69,1177
1589253710,800,251,50.87462,1.33046,3852,67,1177
1589253718,800,267,50.87416,1.32645,3852,65,1177
1589253740,800,288,50.87596,1.31760,3852,59,1177
1589253762,800,336,50.87974,1.31294,3852,44,1177
1589253768,800,346,50.88094,1.31227,3852,43,1177
1589253774,800,353,50.88211,1.31195,3852,43,1177
1589253780,800,358,50.88336,1.31183,3852,45,1177
1589253810,800,39,50.88891,1.31508,3852,41,1177
1589253817,800,39,50.88983,1.31638,3852,41,1177
1589253824,800,59,50.89082,1.31858,3852,40,1177
1589253832,800,65,50.89142,1.32027,3852,41,1177
1589253840,800,76,50.89201,1.32289,3852,44,1177
1589253848,800,87,50.89221,1.32568,3852,46,1177
1589253870,800,117,50.89109,1.33301,3852,51,1177
1589253876,800,128,50.89018,1.33514,3852,54,1177
1589253882,800,139,50.88904,1.33692,3852,57,1177
1589253888,800,150,50.88760,1.33850,3852,58,1177
1589253894,800,160,50.88602,1.33964,3852,62,1177
1589253900,800,170,50.88448,1.34018,3852,64,1177
1589253906,800,182,50.88267,1.34033,3852,68,1177
1589253912,800,196,50.88052,1.33972,3852,68,1177
1589253918,800,206,50.87892,1.33862,3852,70,1177
1589253924,800,220,50.87727,1.33684,3852,68,1177
1589253930,800,233,50.87599,1.33462,3852,67,1177
1589253936,800,246,50.87499,1.33194,3852,65,1177
1589253942,800,255,50.87438,1.32919,3852,64,1177
1589253948,800,268,50.87420,1.32645,3852,62,1177
1589253994,800,340,50.88011,1.31264,3852,47,1177
1589254000,800,347,50.88136,1.31210,3852,46,1177
1589254008,800,356,50.88332,1.31183,3852,42,1177
1589254030,800,27,50.88721,1.31339,3852,41,1177
1589254036,800,34,50.88830,1.31432,3852,41,1177
1589254042,800,42,50.88923,1.31554,3852,41,1177
1589254048,800,48,50.89005,1.31680,3852,42,1177
1589254056,800,59,50.89105,1.31910,3852,41,1177
1589254062,800,67,50.89156,1.32081,3852,41,1177
1589254068,800,75,50.89192,1.32266,3852,44,1177
1589254074,800,83,50.89215,1.32459,3852,45,1177
1589254080,800,91,50.89224,1.32667,3852,48,1177
1589254086,800,101,50.89206,1.32890,3852,50,1177
1589254092,800,108,50.89178,1.33061,3852,48,1177
1589254098,800,118,50.89119,1.33270,3852,48,1177
1589254104,800,125,50.89037,1.33469,3852,50,1177
1589254110,800,136,50.88936,1.33655,3852,56,1177
1589254116,800,144,50.88826,1.33788,3852,58,1177
1589254122,800,156,50.88667,1.33926,3852,60,1177
1589254128,800,169,50.88483,1.34011,3852,65,1177
1589254134,800,181,50.88300,1.34033,3852,68,1177
1589254140,800,193,50.88107,1.33989,3852,68,1177
1589254146,800,205,50.87924,1.33885,3852,68,1177
1589254152,800,215,50.87773,1.33736,3852,70,1177
1589254158,800,230,50.87618,1.33499,3852,68,1177
1589254164,800,242,50.87517,1.33254,3852,66,1177
1589254170,800,252,50.87461,1.33049,3852,65,1177
1589254176,800,263,50.87421,1.32727,3852,63,1177
1589254182,800,276,50.87430,1.32415,3852,61,1177
1589254224,800,340,50.88020,1.31264,3852,45,1177
1589254230,800,348,50.88174,1.31203,3852,44,1177
1589254238,800,358,50.88304,1.31190,3852,44,1177
1589254262,800,29,50.88766,1.31368,3852,41,1177
1589254268,800,35,50.88867,1.31472,3852,41,1177
1589254274,800,42,50.88954,1.31598,3852,41,1177
1589254282,800,55,50.89069,1.31814,3852,42,1177
1589254288,800,62,50.89128,1.31970,3852,42,1177
1589254298,800,74,50.89193,1.32248,3852,44,1177
1589254304,800,83,50.89216,1.32454,3852,47,1177
1589254310,800,91,50.89221,1.32660,3852,47,1177
1589254316,800,99,50.89207,1.32866,3852,47,1177
1589254322,800,108,50.89174,1.33079,3852,49,1177
1589254328,800,117,50.89114,1.33285,3852,51,1177
1589254334,800,127,50.89030,1.33484,3852,54,1177
1589254340,800,137,50.88923,1.33667,3852,56,1177
1589254346,800,148,50.88793,1.33820,3852,58,1177
1589254352,800,157,50.88648,1.33934,3852,60,1177
1589254360,800,174,50.88397,1.34033,3852,64,1177
1589254382,800,214,50.87778,1.33744,3852,66,1177
1589254388,800,229,50.87619,1.33507,3852,68,1177
1589254394,800,242,50.87517,1.33263,3852,67,1177
1589254400,800,253,50.87452,1.32996,3852,64,1177
1589254406,800,264,50.87421,1.32742,3852,63,1177
1589254412,800,277,50.87429,1.32423,3852,62,1177
1589254450,800,339,50.88020,1.31264,3852,48,1177
1589254458,800,351,50.88153,1.31205,3852,45,1177
1589254466,800,356,50.88327,1.31183,3852,45,1177
1589254486,800,25,50.88718,1.31332,3852,42,1177
1589254492,800,31,50.88849,1.31450,3852,42,1177
1589254502,800,29,50.88993,1.31577,3852,41,1177
1589254508,800,30,50.89109,1.31691,3852,43,1177
1589254515,800,30,50.89212,1.31783,3852,43,1177
1589254526,800,31,50.89421,1.31981,3852,42,1177
1589254533,800,30,50.89531,1.32081,3852,40,1177
1589254544,800,30,50.89732,1.32274,3852,43,1177
1589254551,800,30,50.89842,1.32378,3852,41,1177
1589254557,800,30,50.89943,1.32474,3852,41,1177
1589254574,800,30,50.90286,1.32526,3852,45,1177
1589254580,800,359,50.90418,1.32523,3852,45,1177
1589254590,800,359,50.90604,1.32523,3852,44,1177
1589254596,800,359,50.90729,1.32523,3852,43,1177
1589254616,800,1,50.91162,1.32538,3852,44,1177
1589254622,800,6,50.91280,1.32549,3852,44,1177
1589254634,800,2,50.91531,1.32578,3852,45,1177
1589254640,800,9,50.91660,1.32608,3852,44,1177
1589254646,800,19,50.91786,1.32668,3852,42,1177
1589254652,800,27,50.91893,1.32744,3852,41,1177
1589254658,800,26,50.91996,1.32828,3852,42,1177
1589254664,800,25,50.92104,1.32912,3852,43,1177
1589254674,800,25,50.92261,1.33034,3852,43,1177
1589254680,775,28,50.92368,1.33133,3852,42,1177
1589254686,775,31,50.92470,1.33224,3852,42,1177
1589254692,800,33,50.92573,1.33324,3852,41,1177
1589254700,800,35,50.92703,1.33469,3852,41,1177
1589254706,800,36,50.92815,1.33591,3852,42,1177
1589254712,800,34,50.92899,1.33690,3852,42,1177
1589254718,800,35,50.93005,1.33811,3852,43,1177
1589254724,800,35,50.93094,1.33903,3852,41,1177
1589254730,800,35,50.93201,1.34026,3852,41,1177
1589254736,800,34,50.93289,1.34122,3852,40,1177
1589254742,800,35,50.93392,1.34239,3852,39,1177
1589254748,800,35,50.93481,1.34338,3852,39,1177
1589254754,800,35,50.93574,1.34445,3852,41,1177
1589254760,775,35,50.93671,1.34544,3852,41,1177
1589254766,775,33,50.93737,1.34628,3852,43,1177
1589254776,800,5,50.93939,1.34701,3852,43,1177
1589254782,775,5,50.94067,1.34720,3852,44,1177
1589254790,800,5,50.94246,1.34746,3852,43,1177
1589254800,800,6,50.94424,1.34776,3852,44,1177
1589254806,775,5,50.94561,1.34796,3852,45,1177
1589254812,775,3,50.94694,1.34820,3852,43,1177
1589254822,800,5,50.94905,1.34850,3852,44,1177
1589254848,800,14,50.95417,1.34964,3852,43,1177
1589254855,800,24,50.95529,1.35025,3852,41,1177
1589254862,800,31,50.95673,1.35147,3852,42,1177
1589254870,800,42,50.95775,1.35280,3852,43,1177
1589254878,800,53,50.95889,1.35473,3852,45,1177
1589254884,800,61,50.95967,1.35659,3852,46,1177
1589254890,800,70,50.96027,1.35879,3852,48,1177
1589254896,800,80,50.96063,1.36104,3852,49,1177
1589254902,800,90,50.96073,1.36307,3852,53,1177
1589254912,800,102,50.96050,1.36654,3852,56,1177
1589254918,800,112,50.95999,1.36899,3852,57,1177
1589254924,825,122,50.95915,1.37131,3852,57,1177
1589254930,800,133,50.95818,1.37329,3852,56,1177
1589254937,825,145,50.95683,1.37507,3852,59,1177
1589254944,800,160,50.95500,1.37656,3852,62,1177
1589254950,775,162,50.95299,1.37767,3852,64,1177
1589254962,800,186,50.94919,1.37817,3852,67,1177
1589254968,800,200,50.94717,1.37737,3852,67,1177
1589254974,800,213,50.94544,1.37596,3852,69,1177
1589254982,800,226,50.94397,1.37396,3852,69,1177
1589254990,800,242,50.94239,1.37039,3852,68,1177
1589254996,825,254,50.94170,1.36764,3852,64,1177
1589255040,800,329,50.94584,1.35170,3852,46,1177
1589255050,800,341,50.94775,1.35040,3852,44,1177
1589255056,800,348,50.94868,1.35002,3852,44,1177
1589255064,800,356,50.95045,1.34972,3852,44,1177
1589255086,800,28,50.95491,1.35162,3852,44,1177
1589255094,800,38,50.95610,1.35288,3852,43,1177
1589255102,800,51,50.95725,1.35466,3852,44,1177
1589255108,800,58,50.95808,1.35643,3852,45,1177
1589255116,800,71,50.95892,1.35918,3852,46,1177
1589255123,800,79,50.95929,1.36124,3852,47,1177
1589255132,800,92,50.95943,1.36467,3852,52,1177
1589255138,800,101,50.95924,1.36696,3852,51,1177
1589255144,800,109,50.95885,1.36899,3852,54,1177
1589255152,800,126,50.95766,1.37245,3852,59,1177
1589255158,800,137,50.95650,1.37451,3852,63,1177
1589255164,800,148,50.95506,1.37627,3852,65,1177
1589255172,800,163,50.95290,1.37774,3852,67,1177
1589255178,800,175,50.95102,1.37827,3852,68,1177
